"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"C1";"10n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"C";
"C2";"10n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"C";
"C3";"10n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"C";
"C4";"10n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"C";
"C5";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"C";
"C6";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"C";
"C7";"10n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"C";
"C8";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"C";
"C9";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"C";
"C10";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"C";
"C11";"10n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"C";
"C12";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"C";
"C13";"10n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"C";
"D1";"PMLL41SOD80C";"PMLL41SOD80C";"SOD80C";"High-speed diodes";"";"";"";"";"";
"D2";"PMLL41SOD80C";"PMLL41SOD80C";"SOD80C";"High-speed diodes";"";"";"";"";"";
"D3";"PMLL41SOD80C";"PMLL41SOD80C";"SOD80C";"High-speed diodes";"";"";"";"";"";
"D4";"PMLL41SOD80C";"PMLL41SOD80C";"SOD80C";"High-speed diodes";"";"";"";"";"";
"D5";"PMLL41SOD80C";"PMLL41SOD80C";"SOD80C";"High-speed diodes";"";"";"";"";"";
"D6";"PMLL41SOD80C";"PMLL41SOD80C";"SOD80C";"High-speed diodes";"";"";"";"";"";
"D7";"PMLL41SOD80C";"PMLL41SOD80C";"SOD80C";"High-speed diodes";"";"";"";"";"";
"D8";"BAT60J";"BAT60J";"SOD323_ST";"Schottky barrier diode";"";"";"";"";"";
"Q1";"FDN360P";"FDN360P";"SUPER-SOT3";"Single P-Channel, PowerTrench (R) MOSFET";"";"";"";"";"";
"Q2";"BCX71SMD";"BCX71SMD";"SOT23";"PNP Transistor";"";"";"";"";"";
"Q3";"BCX71SMD";"BCX71SMD";"SOT23";"PNP Transistor";"";"";"";"";"";
"Q4";"FDN360P";"FDN360P";"SUPER-SOT3";"Single P-Channel, PowerTrench (R) MOSFET";"";"";"";"";"";
"Q5";"FDN360P";"FDN360P";"SUPER-SOT3";"Single P-Channel, PowerTrench (R) MOSFET";"";"";"";"";"";
"Q6";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q7";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
"Q8";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";
